t	slot	cpu	diskGB	onchain	submitted	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
1787331246	173	10	108	158.83050847457628	189.135593220339	26253	18365	19708	26622	31207	31170	32266	31123	30653	31632	30909	30764	367	277.6101694915254	283.1694915254237	52.71186440677966	281.03389830508473	278.8305084745763	77.65863017241378	280.77966101694915	277.1810344827586	72.50957241379311	282.4901767241379	279.29537068965516
1787331256	173	4	108	158.83050847457628	189.14505	28794	21483	23053	26622	34625	34187	32266	34117	34367	31632	34820	34225	382.06779661016947	286.7068965517241	315.8474576271186	56.41379310344828	324.728813559322	316	94.99185172413793	317.93220338983053	260.37820373563227	94.71502270114942	267.4941793103448	318.4179356321839
1787331266	191	18	108	387.6949152542373	279.7457627118644	18169	14412	16124	17172	24252	23750	26671	23758	24172	26157	24592	24145	310.33898305084745	286.01724137931035	275.96610169491527	55.83743218390805	207.52542372881356	198.8135593220339	94.86371379310344	200.08474576271186	203.0677966101695	94.59322033898304	210.10169491525423	200.10169491525423
1787331276	204	19	107	503.2542372881356	448.3898305084746	14741	10334	5417	21461	16768	16411	23898	16375	16055	19069	16296	16044	342.135593220339	314.9358577586207	311.9491525423729	157.9869051724138	308.40677966101697	306.1896551724138	188.4577655172414	302.47457627118644	308.0142083333334	194.0517140804598	306.17608965517246	304.85319022988506
1787331286	212	18	107	509.76271186440675	617.4237288135594	16644	13512	8642	29536	22530	22303	31812	22361	22631	27101	22821	22615	272.728813559322	284.38994540229885	286.40677966101697	205.4915254237288	379.93220338983053	380.7241379310345	236.4915254237288	375.6949152542373	380.1186440677966	242.89830508474577	379.64406779661016	377.33898305084745
1787331296	212	11	107	357.4406779661017	578.5932203389831	19059	17652	12590	30666	28369	28166	31812	28203	27897	32132	28066	27891	296.45762711864404	349.0755879310345	350.8135593220339	251.71893103448278	520.2881355932203	517.7744000000001	267.96709281609196	516.6949152542372	452.24563620689656	293.3624137931035	451.52960919540226	449.10880603448277
1787331306	212	6	107	356.98275862068965	482.33898305084745	21565	21871	16371	30666	33825	33474	31812	33665	33901	32132	34075	33848	258.2931034482759	321.4237288135593	334.1551724137931	200.5084745762712	482.2931034482759	468.3220338983051	180.01694915254237	478.32758620689657	473.50847457627117	231.72881355932202	474.8813559322034	471.728813559322
1787331316	212	56	107	353.36533333333335	490.65517241379314	24474	24503	19934	30666	33900	33474	31812	33897	34028	32132	34126	33848	291.135593220339	354.96610169491527	372.2542372881356	200.5084745762712	451.3898305084746	448.5762711864407	180.01694915254237	457.4237288135593	456.08474576271186	231.72881355932202	452.50847457627117	455.8813559322034
1787331326	248	15	107	352.7763117816092	504.14915172413794	14172	19717	15744	24448	25171	24697	31812	25144	24932	30380	24972	24690	262.7827965517241	315.1864406779661	342.95588103448273	194.3728813559322	431.93220338983053	429.3898305084746	216.1864406779661	438.1525423728813	506.4406779661017	222.22413793103448	502.9830508474576	505.76271186440675
1787331336	268	58	107	235.3728813559322	418.49152542372883	17242	22369	18558	31886	30096	29704	31858	30171	30147	32270	30183	29906	257.77966101694915	317.3898305084746	339.8474576271186	197.28813559322035	430.76271186440675	428.49152542372883	141.57627118644066	436.5762711864407	443.2586206896552	202.2742620689655	440.41379310344826	440
