t	slot	cpu	diskGB	onchain	submitted	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
1787329558	355	14	16	241.88135593220338	263.0508474576271	17162	27274	8969	24360	24039	22859	32253	23741	23388	23916	23355	24001	290.33898305084745	285.2350022988506	214.67796610169492	79.72881355932203	289.135593220339	307.44827586206895	33.847457627118644	275.4406779661017	264.271186440678	276.3898305084746	266.6779661016949	280.7118644067797
1787329568	355	12	16	235.3728813559322	235.35593220338984	21117	29458	11395	30067	28720	26956	32763	28469	27750	28228	27477	28244	341	288.0629482758621	248.15254237288136	87.47608505747125	292.49152542372883	307.0603448275863	52.02992988505747	278.93220338983053	268.3282965517241	279.4614827586207	265.9883379310345	283.03773333333334
1787329578	381	33	16	448.64406779661016	221.08474576271186	11154	17688	476	24372	18434	16422	20177	18157	17941	18347	17697	18307	307.4310344827586	290.1583862068966	229.67241379310346	90.27118644067797	298.5344827586207	302.2701678160919	32.983050847457626	285.94827586206895	271.728813559322	284.52542372881356	270.47457627118644	285.06779661016947
1787329588	387	14	15	464.82273160919544	336.1896551724138	14200	19302	2380	28991	22407	20164	24728	22095	21472	21801	21173	21779	296.5593220338983	267.49152542372883	246.77966101694915	107.89830508474576	290.1186440677966	298.8135593220339	51.42372881355932	277.3728813559322	269.1864406779661	280.47457627118644	267.22033898305085	282.4406779661017
1787329598	387	21	15	464.0322034482758	440.6976925287356	17761	21482	4656	32485	26773	24286	31102	26437	26313	26624	25971	26606	326.2850287356322	280.5054247126437	219.91146264367814	156.74576271186442	360.0323775862069	364.08301091954024	108.98305084745763	345.9445120689655	345.2881355932203	346.7586206896552	334.79661016949154	350.20338983050846
1787329608	411	14	15	646.7457627118644	514.3856666666667	10779	20204	4129	24875	19860	17076	28386	19538	19059	19118	18477	19080	327.6101694915254	213.76271186440678	210.52992471264366	159.15254237288136	379.1694915254237	351.77966101694915	127.9322033898305	378.40677966101697	393.2586206896552	380.0981117816092	378.7241379310345	380.3965517241379
1787329618	411	12	15	417.8813559322034	507.35593220338984	15633	22640	6781	31236	24716	21648	31743	24353	23914	23943	23293	23897	404.1864406779661	237.05084745762713	242.54237288135593	202.10169491525423	463.8135593220339	430.22033898305085	157.89830508474577	462.8474576271186	477.4655172413793	463.6093172413793	461.66697298850573	462.4836206896551
1787329628	411	27	15	418.3202514367815	451.68336206896555	20007	25082	8947	32336	29096	26244	31743	29187	28764	28776	28105	28729	367.54237288135596	208.27118644067798	213.5593220338983	156.8135593220339	409.40677966101697	384.93220338983053	136.16949152542372	407.6101694915254	412.2542372881356	405.59322033898303	407	405.22033898305085
1787329639	438	10	15	247.33898305084745	457.36268706896544	21278	23636	8046	32036	30393	26824	31560	29948	29561	29514	28910	29435	428.1694915254237	228.98305084745763	239.11864406779662	157.5593220338983	471.8813559322034	444.33898305084745	157.68457701149424	468.64406779661016	426.3977405172414	417.40625862068964	419.0428505747127	418.9717313218391
1787329649	438	6	15	240.83050847457628	337.42372881355936	25487	26379	10707	32036	33558	31415	31560	33564	33586	33663	31543	33496	408.40677966101697	215.91379310344828	220.01694915254237	113.24137931034483	426.33898305084745	402.49152542372883	110.14868160919539	425.0508474576271	430.9888485632184	422.9491525423729	407.64406779661016	423.2481005747127
