phase	t	slot	blocks	cumTxBytes	confBps	forged	adopted	didntAdopt	leader	mpBytesPerTx	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	mpB_bp1	mpB_bp2	mpB_bp3	mpB_relay11	mpB_relay12	mpB_relay13	mpB_relay21	mpB_relay22	mpB_relay23	mpB_relay31	mpB_relay32	mpB_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
3	280	1382	67	66324764	878428	70	70		71	652.0	10622	12688	16812	18771	19739	19687	24525	20158	19967	26416	20326	20158	6925544	8272576	10961424	12238692	12869828	12835924	15990300	13143016	13018484	17223232	13252552	13143016	344	431	302	201	323	321	208	323	324	211	324	315
3	290	1384	68	66412892	8813	71	71		71	652.0	13636	15429	18539	25042	24792	24753	28395	25115	24971	29044	25426	25380	8890672	10059708	12087428	16327384	16164384	16138956	18513540	16374980	16281092	18936688	16577752	16547760	133	93	53	154	222	215	133	216	195	134	220	228
3	300	1398	69	74520668	810778	72	72		72	652.0	11551	5990	14884	20238	17006	17055	17740	17382	17154	22669	17529	17818	7531252	3905480	9704368	13195176	11087912	11119860	11566480	11333064	11184408	14780188	11428908	11617336	447	456	283	497	689	693	174	688	683	100	680	691
3	310	1398	69	74520668	0	72	72		72	652.0	16135	10777	17628	28204	24178	24234	26055	24536	24278	28933	24666	24925	10520020	7026604	11493456	18389008	15764056	15800568	16987860	15997472	15829256	18864316	16082232	16251100	336	332	186	299	504	504	320	502	497	335	502	501
3	320	1398	69	74520668	0	72	72		72	652.0	19469	15338	20448	28440	29948	29869	29262	29553	29579	28933	30018	29892	12693788	10000376	13332096	18542880	19526096	19474588	19078824	19268556	19285508	18864316	19571736	19489584	277	652	395	161	505	506	335	505	504	48	504	501
3	330	1398	69	74520668	0	72	72		72	652.0	22142	19079	23319	28440	29948	29869	29262	29553	29579	28933	30018	29892	14436584	12439508	15203988	18542880	19526096	19474588	19078824	19268556	19285508	18864316	19571736	19489584	408	268	197	0	317	314	16	247	299	0	301	255
3	340	1398	69	74520668	0	72	72		72	652.0	24955	22630	26216	28440	29948	29869	29262	29553	29579	28933	30018	29892	16270660	14754760	17092832	18542880	19526096	19474588	19078824	19268556	19285508	18864316	19571736	19489584	197	248	210	0	0	0	0	0	0	0	0	0
3	350	1398	69	74520668	0	73	72		73	652.0	27981	26235	27751	28440	29948	29869	29262	29553	29579	28933	30018	29892	18243612	17105220	18093652	18542880	19526096	19474588	19078824	19268556	19285508	18864316	19571736	19489584	420	505	325	0	0	0	0	0	0	0	0	0
3	360	1453	70	83520092	899944	73	73		73	652.0	18914	17420	16047	28349	20844	20883	28714	20429	20479	21312	20788	20604	12331928	11357840	10462644	18483548	13590288	13615716	18721528	13319708	13352308	13895424	13553776	13433808	89	135	71	118	204	208	118	198	177	132	175	177
3	370	1453	70	83520092	0	73	73		73	652.0	21628	20150	19025	28349	26687	26738	29184	26351	26354	29589	26640	26511	14101456	13137800	12404300	18483548	17399924	17433176	19027968	17180852	17182808	19292028	17369280	17285172	369	386	418	151	845	848	240	855	857	674	844	849
