phase	t	slot	bpsUp	cpu	diskGB	confBps	submitted	blockdelay	partition	blocks	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
1	252	318	3	47	125	165288.2068965517	345.0169491525424	1.5549428305	0.24339128181818184	11	23266	23454	23644	83300	21848	17891	9356	24080	16246	24150	14305	20778	214.0643224137931	212.0677966101695	214.62477528735633	0	214.53122873563217	209.1474646551724	153.79661016949152	212.35332413793105	200.77966101694915	212.03389830508473	190.54237288135593	213.5593220338983
1	262	320	3	10	125	163970.64406779662	328.21653304597703	1.8552349738333334	0.338981054076923	12	24900	25332	25372	85549	23570	19637	11258	25738	18094	25566	16157	22640	203.38983050847457	206.77966101694915	207.76271186440678	0	207.66101694915255	208.28813559322035	159.76271186440678	205.05084745762713	200.1864406779661	209.72413793103448	189.47457627118644	208.91525423728814
1	272	332	3	9	125	163028.14549655173	330.59905459770107	1.3043233221666668	0.338981054076923	13	13335	14095	13863	75444	12059	8303	1716	14461	6881	14283	4862	11265	204.20745172413794	232.98305084745763	210.98783045977012	0	233.9460908045977	233.6949152542373	189.74576271186442	229.96610169491527	213.9310344827586	209.21875402298846	204.51724137931035	212.3793103448276
1	282	348	3	12	125	214667.7966101695	337.864406779661	0.8084257981666666	0.33758882978571425	14	15332	15862	15860	78832	14032	9750	3439	16146	8580	16048	6623	12856	207.1864406779661	212	212.71186440677965	0	211.6949152542373	208.5084745762712	183.6271186440678	210.77966101694915	212.73533333333336	211.95223908045975	204.79727241379314	211.29934482758617
1	292	348	3	9	125	162516.8746275862	341.42680747126434	0.8084257981666666	0.33758882978571425	14	17510	18270	18052	82361	16341	12092	5869	18568	10976	18464	9057	15282	231.86272068965516	236.94915254237287	237.6406655172414	0	235.91525423728814	231.54237288135593	216.3448275862069	234.57627118644066	237.64505747126435	236.67800057471266	233.56309396551725	234.87456034482756
2	303	348	3	12	125	162486.71186440677	349.0169491525424	0.8084257981666666	0.33758882978571425	14	20220	20660	20760	86356	18577	14550	8287	21049	12909	20898	11455	17714	205.864406779661	214.55172413793102	211.96610169491527	0	208.54237288135593	205.33898305084745	203.6307471264368	208.74576271186442	206.4384235632184	210.4187356321839	213.37924137931034	208.74811896551722
2	313	377	3	17	125	159518.84745762713	427.3160455649718	0.7642741202500001	0.3351108552666667	15	9993	10444	9957	91965	9019	4767	4890	11488	3433	11698	2809	8587	255	261.0000206896552	251.4406779661017	8.253879310344827	264.8474576271186	259.7457627118644	238.98305084745763	269.40677966101697	255.8135593220339	271.64406779661016	267.7118644067797	267.864406779661
2	323	377	3	13	125	159518.84745762713	498.18900268361585	0.7642741202500001	0.3351108552666667	15	13634	13443	12437	83506	13170	8882	10591	15639	7016	15442	6548	12319	250.15254237288136	246.6198922413793	229.10169491525423	51.675	263.5762711864407	261.51724137931035	216.269425862069	269.03389830508473	252.5712212643678	270.5008229885058	266.8681505747126	267.20612068965517
2	333	377	3	14	125	107337.7627118644	572.8261176553672	0.7642741202500001	0.3351108552666667	15	17095	16447	14874	88983	17137	12845	17568	19602	10806	19799	10910	16686	268.23728813559325	253.1095606321839	231.16949152542372	70.06551724137931	285.4237288135593	281.7467011494253	249.3050847457627	290.91525423728814	268.5593220338983	292.79661016949154	336.33898305084745	290.23728813559325
2	343	403	3	13	124	109188.41379310345	619.2229886158193	0.8946358340833334	0.334477798125	16	19530	18767	16636	92722	20052	15754	21863	22491	13467	22269	13462	19183	287.50847457627117	266.35593220338984	236.1206896551724	101.24097457627117	316.271186440678	317.1186440677966	220.22033898305085	322.271186440678	297.4237288135593	346.66101694915255	320.0508474576271	323.96610169491527
2	353	403	3	12	124	108078.33158620688	685.0489324367816	0.8946358340833334	0.334477798125	16	22963	21860	19166	98215	24018	19733	27841	26466	17841	26640	16795	23560	300.7296275862069	274.3204511494253	234.72413103448272	119.62241379310343	337.9369683908047	335.69324712643675	211.864406779661	342.3115396551724	316.3050847457627	340.79661016949154	330.8813559322034	341.7118644067797
2	363	426	3	20	124	162490.57627118644	699.3419899425287	1.2142201745833334	0.36444733	18	12845	11205	8142	103020	14128	9831	18833	16586	7511	16241	6989	13234	348.4406779661017	313.66101694915255	268.20686666666666	155.5291025423729	394.728813559322	391.96610169491527	208.5084745762712	398.0508474576271	378.9491525423729	403.7931034482759	372.47457627118644	399.08474576271186
2	373	426	3	14	124	108821.69491525424	717.9322033898304	1.2142201745833334	0.36444733	18	16177	15127	12001	95060	18871	14579	24315	21340	12253	20977	11279	17971	319.2881355932203	289.2542372881356	250.52542372881356	153.4237288135593	370.59322033898303	369.728813559322	173.52542372881356	370.7457627118644	367.08620689655174	371.3331827586207	354.98275862068965	377.6551724137931
2	383	426	3	14	124	108821.69491525424	705.9343951149426	1.2142201745833334	0.36444733	18	19648	19063	14496	101349	23689	19395	29761	26152	17069	25793	15241	22781	358.1543103448276	345.33898305084745	290.12463620689647	159.91525423728814	434.22033898305085	433.9491525423729	181.96610169491527	434.7118644067797	429.4331727011494	434.994058045977	393.65887931034484	437.18492356321843
2	393	426	3	14	124	108821.69491525424	722.1694915254237	1.2142201745833334	0.36444733	18	23306	22891	17630	107622	28510	24223	35237	30970	21895	30601	19154	27617	317.6101694915254	321.76271186440675	265.3050847457627	179.864406779661	397.20338983050846	396.9830508474576	145.5344827586207	397.52542372881356	401.3974781609195	397.00457816091955	345.05952586206894	399.47425977011494
2	404	426	3	13	124	55067.67536551724	670.9325043103448	1.2142201745833334	0.36444733	18	27002	26529	20379	107904	33352	29073	41249	35822	27231	35935	23504	32958	373.6779661016949	385	308.33898305084745	183.70689655172413	475.89830508474574	475.6271186440678	156.28813559322035	419.271186440678	476.3728813559322	417.6779661016949	401.03389830508473	476.50847457627117
2	414	426	3	12	124	55152.813559322036	610.0677966101695	1.2142201745833334	0.36444733	18	30664	29823	23117	107904	37888	33622	45891	40332	31294	40045	26789	37030	336.52542372881356	348.1317281609195	280.45762711864404	145.02510574712645	437.66101694915255	437.7457627118644	134.691375	437.96610169491527	437.9136367816092	436.37390977011484	371.5754545977012	438.42716206896546
