Tx count	Block size [kB]	Apply [ms]	Reapply [ms]	Fraction of blocks [%/100]
1	0.8821605	1.0463233	0.1353262	0.00214732219259633
1	0.894	1.801	1.447	2.14732219259633e-07
1	0.9285	3.256	0.2865	8.58928877038534e-07
1	1.0233	2.0166	0.6497	2.14732219259633e-06
1	1.0234649122807	1.94315413533835	0.252744360902256	0.000171356310969187
1	1.03727624929815	2.02495508141494	0.368701291409321	0.000382438082501407
1	1.0441	2.20901428571429	0.485557142857143	1.50312553481743e-05
1	1.05474984286612	1.89504399748586	0.180694531741043	0.000341638960842077
1	1.05913333333333	3.1154	0.162866666666667	3.2209832888945e-06
1	1.0788	2.9918	0.4992	1.07366109629817e-06
1	1.084	5.023	0.353	2.14732219259633e-07
1	1.09668421052632	3.25105263157895	0.364105263157895	4.07991216593303e-06
1	1.1355	4.7555	0.1835	4.29464438519267e-07
1	1.2975	9.7495	0.3465	4.29464438519267e-07
1	1.55760749755211	2.11438718701916	0.171630717582879	0.00153512063548712
1	1.579	6.447	0.8355	4.29464438519267e-07
1	1.58	3.6375	1.1405	4.29464438519267e-07
1	1.626	4.68	1.917	2.14732219259633e-07
1	1.63416666666667	0.677833333333333	1.34566666666667	1.2883933155578e-06
1	1.6540776119403	0.686037313432836	0.35244776119403	0.000143870586903954
1	1.66	6.696	0.496	4.29464438519267e-07
1	1.67545161290323	4.86048387096774	0.857090322580645	3.32834939852432e-05
1	1.68848667225482	2.21302279966471	0.360567141659681	0.00128087768788371
1	1.69176092089728	0.676858520267611	0.28834336875246	0.00109126913827746
1	1.70916774193548	4.68365161290323	0.280270967741935	3.32834939852432e-05
1	1.72947619047619	3.97919047619048	0.828904761904762	4.5093766044523e-06
1	1.74256355932203	2.24799915254237	0.269813559322034	0.000253384018726367
1	1.7494	5.21766666666667	1.06303333333333	6.441966577789e-06
1	1.75483898305085	4.65804237288136	0.686593220338983	2.53384018726367e-05
1	1.784	0.667333333333333	0.893777777777778	1.9325899733367e-06
1	1.79865688487585	3.41027539503386	0.269841986455982	9.51263731320176e-05
1	1.81945454545455	0.62819696969697	0.498409090909091	1.41723264711358e-05
1	1.84704430379747	4.85494936708861	0.494860759493671	3.39276906430221e-05
1	1.8513552631579	3.53211842105263	0.483897368421053	8.15982433186607e-05
1	1.8565	6.766	0.3385	4.29464438519267e-07
1	1.86579814385151	3.39754060324826	0.17362180974478	9.2549586500902e-05
1	1.873	8.895	0.948	2.14732219259633e-07
1	1.89009473684211	3.33127719298246	0.383738011695906	0.000183596047466987
1	1.91035701643489	0.555185284450063	0.11963180783818	0.00424632963585925
1	1.9455	5.987	1.385	4.29464438519267e-07
1	2.05982166838843	1.09006572830579	0.35207722107438	0.0016628863059466
1	2.064375	2.1725	1.08525	1.71785775407707e-06
1	2.06896153846154	3.82126923076923	0.642025641025641	1.67491131022514e-05
1	2.08009090909091	6.85909090909091	1.20236363636364	2.36205441185597e-06
1	2.08178571428571	4.67530952380952	0.381309523809524	9.0187532089046e-06
1	2.09257142857143	0.639142857142857	0.627928571428571	3.00625106963487e-06
1	2.096125	2.25447844827586	0.483754310344828	4.98178748682349e-05
1	2.098	0.713	1.064	2.14732219259633e-07
1	2.10125	2.03375	1.5165	8.58928877038534e-07
1	2.102	3.338	1.723	2.14732219259633e-07
1	2.19504763133007	0.958642851001633	0.30042266357149	0.0024975504422088
1	2.205	8.879	0.474	2.14732219259633e-07
1	2.21527684478372	1.06565656125045	0.141054598327881	0.00295364167591626
1	2.21833333333333	7.17073333333333	1.463	3.2209832888945e-06
1	2.3515	7.8955	1.8845	4.29464438519267e-07
1	2.363	7.101	0.315	4.29464438519267e-07
1	2.38214285714286	0.966	1.11971428571429	3.00625106963487e-06
1	2.3864	6.541	0.1532	1.07366109629817e-06
1	2.43983541147132	1.12094014962594	0.49559102244389	8.6107619923113e-05
1	2.49583870967742	1.11116129032258	0.843967741935484	6.65669879704864e-06
1	2.53785714285714	8.995	1.64314285714286	1.50312553481743e-06
1	2.59885	1.01185	1.4373	4.29464438519267e-06
1	2.70500869565217	1.21810434782609	0.650539130434783	2.46942052148578e-05
1	2.71304081632653	9.69848979591837	1.99644897959184	1.0521878743722e-05
1	2.7252	4.5046	0.167	1.07366109629817e-06
1	2.7524	307.3184	319.8582	1.07366109629817e-06
1	2.9187	2.09592	0.66608	1.07366109629817e-05
1	2.9994347826087	2.24313043478261	0.863652173913044	4.93884104297157e-06
1	3.24	14.345	1.052	2.14732219259633e-07
1	3.2491	13.03622	2.80474	1.07366109629817e-05
1	4.062	7.5275	0.7115	4.29464438519267e-07
1	4.5105	5.256	0.8105	4.29464438519267e-07
1	5.133	20.562	0.546	2.14732219259633e-07
1	5.159	0.6365	0.511666666666667	1.2883933155578e-06
1	5.31	10.43	0.732	2.14732219259633e-07
1	5.44552653061225	0.631989387755102	0.120443265306122	0.000263046968593051
1	5.522125	1.272	1.494	1.71785775407707e-06
1	5.671	5.14225	0.65275	8.58928877038534e-07
1	5.68319298245614	1.28329824561404	0.645473684210526	1.22397364977991e-05
1	5.854	11.85	0.311	2.14732219259633e-07
1	5.85647058823529	2.12673529411765	0.853323529411765	7.30089545482753e-06
1	5.97853018108652	1.29111234071093	0.355834339369551	0.000640331477832227
1	6.0044540493969	1.16967346352671	0.293954336588168	0.000747697587462043
1	6.009	6.74411111111111	0.513333333333334	1.9325899733367e-06
1	6.03266666666667	7.89833333333333	0.701	6.441966577789e-07
1	6.055	11.555	0.173	2.14732219259633e-07
1	6.08864739884393	3.41701156069364	0.366046242774566	3.71486739319166e-05
1	6.118	1.39935	0.8333	4.29464438519267e-06
1	6.17775197709299	1.13234319607308	0.143533678756477	0.00157484609605015
1	6.1859375	0.6836875	0.3558125	3.43571550815413e-06
1	6.18966666666667	7.50766666666667	0.804666666666667	6.441966577789e-07
1	6.21499145299145	0.683905982905983	0.287042735042735	2.51236696533771e-05
1	6.21596842105263	1.33211052631579	0.490657894736842	4.07991216593303e-05
1	6.24044444444444	5.09622222222222	0.502	1.9325899733367e-06
1	6.246	12.853	0.3725	8.58928877038534e-07
1	6.2486	1.3526	1.1232	1.07366109629817e-06
1	6.25941666666667	2.06308333333333	0.669055555555556	7.7303598933468e-06
1	6.262	28.702	0.674	2.14732219259633e-07
1	6.28756796116505	3.44191262135922	0.159179611650485	4.42348371674845e-05
1	6.38134920634921	3.49573015873016	0.292063492063492	1.35281298133569e-05
1	6.39111111111111	9.78777777777778	0.174888888888889	1.9325899733367e-06
1	6.39958064516129	5.08296774193548	0.366225806451613	1.33133975940973e-05
1	6.403625	3.435125	0.646	1.71785775407707e-06
1	6.45585714285714	6.83771428571429	0.362214285714286	6.01250213926973e-06
