script_hash,purpose,redeemer_count,mem_avg,steps_avg,redeemer_fraction,mem_fraction,steps_fraction
31415bb210164cf6b84d1b12537f0792d2912d156e0f1ed1d91c83ce,spend,490004,135817.965516608028,52953878.750595913503,0.00881740094473181239,0.00093769778277252218,0.00104599352046327322
15b95fdaceeb507073a1bd198803373beeafbd82560fbf8abe9073ff,spend,482245,2863096.793223361569,1002414154.35374758,0.00867778123972904888,0.01945404012042933116,0.01948706869738715574
e4214b7cce62ac6fbba385d164df48e157eae5863521b4b67ca71d86,mint,447970,296184.821309462687,97269333.759602205505,0.00806101807579429963,0.00186946686619559735,0.00175653361074741762
7bd80451bde142f4e9d9af436de303fb4c0aaf51d96b14a41e2e07de,spend,446809,92109.923463940968,35943977.929748505514,0.00804012640450828231,0.00057987498867930686,0.00064741035830765120
14386d24c827f3ce74bdf6c875e548d928e12036c145ebec14f04df5,spend,433415,83360.984942837696,32771595.129561736442,0.00779910741639035287,0.00050906450696859235,0.00057257596114413469
b15a1a010843e8afb6f963b03d452be815b533dad0cd23d819c2d201,spend,430050,1222499.292152075340,368882938.26618300,0.00773855575930383409,0.00740753328285066587,0.00639497885471891998
e0302560ced2fdcbfcb2602697df970cd0d6a38f94b32703f51c312b,spend,428299,1162070.091891412308,404272908.35736950,0.00770704730416015077,0.00701270269818435516,0.00697996574872012123
99e5aacf401fed0eb0e2993d72d423947f42342e8f848353d03efe61,reward,427059,39905.625487344840,13100188.859230223459,0.00768473406351014087,0.00024011983946883023,0.00022552621321946853
9dee0659686c3ab807895c929e3284c11222affd710b09be690f924d,spend,426083,705006.690452329710,276271749.31603467,0.00766717138377271373,0.00423246610192486126,0.00474528473442792616
00fb107bfbd51b3a5638867d3688e986ba38ff34fb738f5bd42b20d5,spend,376352,2575951.155160594337,793952763.63927387,0.00677228447186493795,0.01365959727251429114,0.01204537944392187289
cb684a69e78907a9796b21fc150a758af5f2805e5ed5d5a8ce9f76f1,spend,366093,2256717.961078195978,1283870121.80808702,0.00658767839458392869,0.01164058358117722865,0.01894715942043729517
f0c16278fb2dceaa8c32b52f282d6f57ccb6068077a56c7a8f0707a7,spend,288420,100000.000000000000,20000000.000000000000,0.00518998779699665580,0.00040637914818932293,0.00023253426672395316
9b85d5e8611945505f078aeededcbed1d6ca11053f61e3f9d999fe44,spend,277006,2631573.819130271546,1707778073.08895836,0.00498459801572309700,0.01027095381331568265,0.01907006623717304823
343f54d6adfb256b1e9041a72a8b519670086570d5611df499c797aa,spend,269698,588628.939413714599,211758153.47941772,0.00485309385227932902,0.00223679085772309553,0.00230223397896214658
193ee65211bb3b4e0ea5f751f415269355a650e2e3706f625cdf1a4b,spend,260970,140460.044595164195,65318465.188818638158,0.00469603742938151746,0.00051647515027929258,0.00068716044025729669
c134d839a64a5dfb9b155869ef3f34280751a622f69958baa8ffd29c,spend,259723,50992.865810883133,19397898.185740192436,0.00467359822688912848,0.00018660611613471128,0.00020309380602894062
2618e94cdb06792f05ae9b1ec78b0231f4b7f4215b1b4cf52e6342de,spend,243556,585181.180020200693,396068459.28664044,0.00438268035464016885,0.00200814573125073786,0.00388866636895045040
